carat,cut,color,clarity,depth,table,price,x,y,z
0.32,Ideal,G,VVS1,61.2,55.0,814,4.41,4.44,2.71
0.7,Fair,I,SI1,62.0,67.0,1848,5.54,5.5,3.42
1.46,Premium,J,SI2,60.1,58.0,6387,7.43,7.34,4.44
0.38,Premium,G,VS2,60.4,57.0,983,4.7,4.67,2.83
0.7,Very Good,F,VS2,62.9,56.0,2400,5.66,5.73,3.58
0.32,Ideal,E,SI2,62.7,55.0,576,4.42,4.39,2.76
0.71,Ideal,F,VS1,62.1,57.0,3066,5.73,5.76,3.57
0.3,Ideal,E,VS2,61.5,55.0,844,4.31,4.28,2.64
0.36,Ideal,E,VVS2,61.8,54.0,928,4.6,4.62,2.85
0.34,Ideal,F,VS2,62.1,55.0,880,4.51,4.47,2.79
0.56,Ideal,G,VS2,62.1,56.0,1580,5.29,5.31,3.29
1.32,Premium,F,VS1,61.7,59.0,10977,6.95,6.99,4.3
0.58,Ideal,F,VS2,60.2,57.0,1706,5.43,5.48,3.28
0.4,Ideal,E,VVS2,61.8,55.0,1238,4.78,4.74,2.94
0.35,Ideal,H,VS1,61.8,57.0,646,4.53,4.56,2.81
0.74,Ideal,H,VS1,61.8,58.0,2797,5.77,5.81,3.58
0.9,Premium,H,VS2,60.4,59.0,4246,6.27,6.24,3.78
0.41,Premium,D,SI2,62.3,61.0,818,4.75,4.72,2.95
0.62,Very Good,D,VVS2,58.1,63.0,3050,5.59,5.66,3.27
0.75,Premium,F,SI2,60.5,58.0,2394,5.91,5.86,3.56
0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64
0.55,Ideal,E,SI1,62.3,56.0,1668,5.26,5.23,3.27
0.91,Ideal,G,SI2,61.6,56.0,3985,6.24,6.22,3.84
0.41,Premium,E,VS1,61.8,58.0,1079,4.73,4.75,2.93
0.57,Very Good,F,VVS1,61.9,56.0,2591,5.31,5.34,3.29
1.25,Ideal,G,SI1,60.7,56.0,8226,6.98,7.05,4.26
